id,titulo,descripcion,hay_stock,precio,unidad,imagen,es_oferta,tags
ACEI_00,Aceite de oliva Frutos del Norte,Orgánico. De sabor suave y aromático,sí,16800,la botella de 500ml,https://lh3.googleusercontent.com/d/1z0ZKZt7viB6b86LtlYHipUD6DX2hXe07,no,sin TACC|aceite|orgánico
ACEI_01,Aceite de oliva  La Riojana,,no,0,la botella de 500ml,https://lh3.googleusercontent.com/d/1QH8dHMTMg8hZ8qDexuoZV4-B69bPz9ul,no,aceite|orgánico
ACEI_02,Aceite de oliva Terranova,,no,0,la botella de 500ml,https://lh3.googleusercontent.com/d/1EQP6gciiR46cyJOyp-rzZl-DYDAQ76Cb,no,aceite
ACEI_04,Aceite de coco neutro,Marca Entre Nuts,sí,9370,el frasco de 500cc,https://lh3.googleusercontent.com/d/1F2KL7G-iFEbiBwVJ-dz7Kt4wKTbl07td,no,sin TACC|aceite
ACEI_06,Aceite de coco virgen,Marca Entre Nuts,sí,17700,el frasco de 500cc,https://lh3.googleusercontent.com/d/1AJrTWnnqZrTjIfCTXtXYDzaUSs9lSGaj,no,sin TACC|aceite
ACEI_08,Aceite de lino orgánico,Marca Aguara,sí,7250,la botella de 250ml,https://lh3.googleusercontent.com/d/1VglNiL-sRJt4MXe5XefvvyloORXkf8aU,no,sin TACC|aceite|suplementos|orgánico
ACEI_09,Aceite de nuéz pecán,,no,0,los 500ml,,no,aceite|agroecológico
ACEI_10,Aceite de sésamo,,no,0,los 250ml,,no,aceite|suplementos|especias
ACEI_11,Aceite de coco neutro,Marca Entre Nuts,sí,6800,el frasco de 360cc,https://lh3.googleusercontent.com/d/1vqZkRA8kIFizIPLGlh6wxImkLqwSY9SJ,no,sin TACC|aceite
ACEI_12,Aceite de coco virgen,Marca Entre Nuts,sí,13400,el frasco de 360cc,https://lh3.googleusercontent.com/d/1rYYHm35sdlu30Jb359PbLN7Pgo8g_XG1,no,sin TACC|aceite
AJIM_00,Ají molido,,sí,1650,los 50g,https://lh3.googleusercontent.com/d/1yEZsD89FF-Jwzu6bpdrE_6Y2M2adMv8B,no,especias
AJOG_00,Ajo granulado,,sí,1300,los 50g,https://lh3.googleusercontent.com/d/1Or0rPGOlHiEBRx-JBnCbxd_XyFqYnNLP,no,especias
AJOP_00,Ajo en polvo,,sí,1000,los 50g,https://lh3.googleusercontent.com/d/1X6jkV3xUNeOKoCXA1FLApDvFhSRSC-a4,no,especias
ALME_00,Almendras Non Pareil,,sí,2200,los 100g,https://lh3.googleusercontent.com/d/1PqpmLmc1-9GapFIeDuwn2MAR0PnZhRNz,no,frutos secos
ALME_01,Almendras Guara,,sí,2000,los 100g,https://lh3.googleusercontent.com/d/1klfFXvdF9LWqRsDMtbEwjfniAToZjGgY,no,frutos secos
AMBA_00,Ambay hojas,,sí,1000,los 100g,https://lh3.googleusercontent.com/d/1tr21X5uGDPhbwBBijySo_hEEM297Yo-v,no,yuyitos|tecitos
ANIS_00,Anis estrellado,Partido,sí,2100,los 50g,https://lh3.googleusercontent.com/d/1PIs6qXunMu9w08fZK8CCYixST_-15qjb,no,yuyitos|especias|tecitos
ARRO_00,Arroz yamaní,Integral,sí,2100,el kg,https://lh3.googleusercontent.com/d/1s_VLly9qnLgiotIlmbb336yrGD4P_ue_,no,cereales
ARRO_01,Arroz integral largo fino,,sí,1900,el kg,https://lh3.googleusercontent.com/d/1jECCKIisRZMRLm9W8jGlvI5ehxAXTIMs,no,cereales
ARVE_00,Arveja seca partida,,sí,2500,el kg,https://lh3.googleusercontent.com/d/18QiuzBrNySCInzgICsngiaHvQextzTQN,no,legumbres
AVEL_00,Avellanas,,sí,3300,los 100g,https://lh3.googleusercontent.com/d/1MCs1vkKkHIfEktw8ri33x2SR4fF-k6Lq,no,frutos secos
AVEL_01,Avellanas con chocolate,,no,0,los 100g,,no,frutos secos|snacks|chocolate
AVEN_00,Avena instantánea,,sí,2270,el kg,https://lh3.googleusercontent.com/d/1dNqhfH628kkAa19RkTJhaUzc08Y3cEgG,no,cereales
AVEN_02,Avena arrollada,Orgánica. Marca Campo Claro,sí,2970,los 500g,https://lh3.googleusercontent.com/d/1_iPH8FfrDD1trrtsckPOhkvud_1H19Vo,no,cereales|orgánico
AVEN_03,Avena instantánea sin TACC,Marca Cumaná,no,2900,los 500g,https://lh3.googleusercontent.com/d/1FK_z0nkdnca3NSgZQUbNp-V3j2pnAHKF,no,sin TACC|cereales
AZUC_00,Azúcar mascabo,,sí,3800,el kg,https://lh3.googleusercontent.com/d/12GKQ2_pFGEkxdtW95xXXvOHP5Hdhc39U,no,
BARR_00,Barrita de cereal protéica de maní con chocolate,Contiene 15g de proteína. Marca Íntegra,sí,1770,la unidad (45g),https://lh3.googleusercontent.com/d/1lQiHCaqeAHqBJeHS933ipdODZCCXBZlJ,no,suplementos|snacks|chocolate|vegano
BARR_01,Barrita de cereal protéica de arándanos,Contiene 15g de proteína. Marca Íntegra,sí,1770,la unidad (43g),https://lh3.googleusercontent.com/d/1Ar2KTcBH26eX-A-dyx_1t1SAChaXNkh6,no,suplementos|snacks|vegano
BARR_02,Barrita de cereal de cacao y avellanas,Con cacao; coco y avellanas. Marca Muecas,sí,1300,la unidad (45g),https://lh3.googleusercontent.com/d/1JA2h25SSXC3FHaiFWIMPkNTF6W2l9Mmu,no,snacks|chocolate
BARR_05,Barrita de cereal de manzana y arándanos,Con semillas y nueces,sí,1300,la unidad (45g),https://lh3.googleusercontent.com/d/1ne1H1uXyVQbQ1HA3RWGQW9RwkmIi1lVF,no,snacks
BARR_03,Barrita de avena y banana,100% vegetal. Sin conservantes. Con 7g de proteína y 7g de fibra. Marca Íntegra,sí,1400,la unidad (42g),https://lh3.googleusercontent.com/d/1TdPrsEKOC8JHeGIIehHI_BGWeH3cYUqI,no,snacks|vegano
BARR_04,Barrita de cereal de cacao,Con avena; cacao y chips de chocolate. Marca Íntegra,sí,1400,la unidad (40g),https://lh3.googleusercontent.com/d/1wr1gWwIPw1T5Nmr0aI1mS3fKLmaSTiNQ,no,snacks|chocolate|vegano
BICA_00,Bicarbonato de sodio,,sí,500,los 100g,https://lh3.googleusercontent.com/d/1ICXjp9aWY5hohodMS_vlEcTXzPdokHsu,no,
BOLD_00,Boldo,,sí,2850,los 100g,https://lh3.googleusercontent.com/d/1ehLLROJsf0uswWeWnYJnQSbnKk3yS2wV,no,yuyitos|tecitos
BOLS_00,Bolsita para hacer leches vegetales,,no,4900,la unidad,,no,
BURR_00,Burrito,,sí,1900,los 100g,https://lh3.googleusercontent.com/d/1ouENIwgBVz9sZm2PVLawraciVAbtrhUV,no,yuyitos|tecitos
CACA_00,Cacao amargo,,sí,1600,los 100g,https://lh3.googleusercontent.com/d/1yjK0zO_9mRc1lbRakTnS3BLU7wkD_sHN,no,
CAFE_00,Café de algarroba,Marca Dicomere,sí,4950,el paquete de 200g,https://lh3.googleusercontent.com/d/1bMbmXczsOnqUaHzHAj0kmnGlPeDHE-ca,no,sin TACC|tecitos
CALE_00,Caléndula,,sí,1950,| 100g,,no,
CANE_00,Canela en polvo,,sí,1535,los 50g,https://lh3.googleusercontent.com/d/1wX6Ox0hOzWGupMyyzA40x9BsMrkEZLAY,no,especias
CANV_00,Galletitas de chía; girasol y lino,Marca Canvas,sí,1700,el paquete de 100g,https://lh3.googleusercontent.com/d/1L8j4Jizlg6lk6QffAeU7nWxwFWt9Y0DO,no,snacks|vegano
CANV_01,Galletitas de oliva; chía y lino,Marca Canvas,sí,1750,el paquete de 100g,https://lh3.googleusercontent.com/d/1wHw-lQgJl_PeUn4b7gkvnX2Pot5woTOF,no,snacks|vegano
CANV_02,Galletitas de chocolate y maní,Marca Canvas,sí,1750,el paquete de 150g,https://lh3.googleusercontent.com/d/1FIsNBRWS16rXV6-F_oB3Y19Sc_7EqbJn,no,snacks|chocolate|vegano
CANV_03,Galletitas de jengibre y chía,Marca Canvas,sí,1750,el paquete de 150g,https://lh3.googleusercontent.com/d/11WqcWkCi74OcEjI3_EDd_wCv5G9q3MxP,no,snacks|vegano
CANV_04,Galletitas de algarroba,Con canela; pasas y girasol. Marca Canvas,sí,1750,el paquete de 150g,https://lh3.googleusercontent.com/d/1cAuGeyjIj5AYmAGHhUyjPOIPnFJpkCXf,no,snacks|vegano
CARQ_00,Carqueja,,sí,790,los 100g,https://lh3.googleusercontent.com/d/1j5AApZncEFaTGINhftlzMkE7FMAQWxs1,no,yuyitos|tecitos
CAST_00,Castañas de cajú tostadas,,sí,2690,los 100g,https://lh3.googleusercontent.com/d/1fs3ODi64zAfnL6WNTS0SWCIAWgg68afK,no,frutos secos
